danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.891,0.486,-7.803,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,4scpF6J5uMBvoh6sFB7EL1,200080,3
0.853,0.606,-4.596,0.0713,0.0561,0.0,0.313,0.654,94.759,1lzr43nnXAijIGYnCT8M8H,227600,1
0.69,0.699,-5.612,0.184,0.425,0.0109,0.399,0.465,139.83,6Sm2YzLtL8FcyTMONOkiFw,237840,8
0.447,0.848,-6.175,0.222,0.033,7.45e-05,0.722,0.485,172.247,1kusepF3AacIEtUTYrw4GV,203760,5
0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096,7GX5flRQZVHRAGd6B4TmDO,182707,8
0.745,0.593,-6.35,0.0526,0.00522,5.25e-06,0.123,0.17,111.002,3Q3myFA7q4Op95DOpHplaY,212027,3
0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062,0VgkVdmE4gld66l8iyGjgx,204600,8
0.681,0.314,-9.319,0.0581,0.2,9.82e-06,0.1,0.166,139.992,6mapJIPnQ23RTAevUoE0DL,208120,3
0.557,0.586,-4.57,0.0382,0.0528,7.33e-06,0.339,0.0681,96.091,3nAq2hCr1oWsIU54tS98pL,181573,3
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,4E5P1XyAFtrjpiIxkydly4,182307,3
0.435,0.802,-6.871,0.324,0.00376,0.0,0.467,0.454,84.267,1fLdeDTrJWNkwOeFyAVLvF,207000,8
0.758,0.712,-3.781,0.112,0.0185,0.0,0.0677,0.795,149.998,2q4rjDy9WhaN3o9MvDbO21,193387,1
0.779,0.455,-15.025,0.28,0.0542,0.0,0.177,0.197,140.181,7zBPzAjKAqQpcv8F8GCq5s,153429,8
0.757,0.882,-6.125,0.248,0.0763,0.0,0.251,0.684,140.047,2KpCpk6HjXXLb7nnXoXA5O,219320,8
0.825,0.856,-1.912,0.0476,0.00851,1.4e-06,0.127,0.207,128.016,1V4jC0vJ5525lEF1bFgPX2,222133,3
0.63,0.804,-4.183,0.0363,0.215,0.0,0.253,0.492,123.146,3a1lNhkSLSkpJE4MSHpDu9,220293,1
0.492,0.275,-13.4,0.3,0.687,0.0,0.101,0.18,92.6,7vRriwrloYVaoAe3a9wJHe,251034,4
0.678,0.398,-8.413,0.0315,0.738,0.0,0.117,0.202,111.833,3UwT4FadEGWyMdaSwYcUBY,232852,4
0.774,0.75,-4.927,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,27L8sESb3KR79asDUBu8nW,197987,1
0.481,0.865,-5.498,0.0283,0.0204,1.24e-06,0.17,0.241,92.086,4EnkwZd0UJAuHpNMMemQaA,273160,3
0.689,0.694,-5.83,0.027,0.257,0.0,0.148,0.482,99.039,0d8ZbnRoW1TJ3qEleTrYHH,213307,3
0.64,0.864,-6.576,0.0314,0.00832,0.0,0.123,0.701,102.026,42et6fnHCw1HIPSrdPprMl,268360,1
0.398,0.945,-7.535,0.07,0.0128,0.000234,0.171,0.534,157.763,5wTMQjEx9LWeFwLjolPCUy,148507,0
0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,6Qyc6fS4DsZjB2mRW9DsQs,289533,0
0.378,0.896,-4.066,0.0407,0.000452,0.0,0.194,0.469,174.302,5qqabIl2vWzo9ApSC317sa,258773,0
0.651,0.793,-7.312,0.0338,0.0538,0.01,0.137,0.682,90.573,73fzhVcs7n1wZz84eoE2vs,232533,1
0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,5UWwZ5lm5PKu6eKsHAGxOk,250547,0
0.578,0.817,-6.542,0.0363,0.183,3.06e-06,0.285,0.726,141.621,5DiXcVovI0FcY2s0icWWUu,272293,1
0.5,0.704,-8.797,0.0695,0.125,1.79e-05,0.138,0.722,119.463,6XK6Zw6JkFsHXzAcMWNiIr,263360,1
0.515,0.43,-9.935,0.0369,0.0102,0.000141,0.129,0.104,91.841,6b2oQwSGFkzsMtQruIWm2p,238640,3
